sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
25439	YALI1_B16158g	119	177	207	1	1	0
31220	YALI1_F26039g	120	61	274	0	1	1
37782	YALI1_B28053g	86	146	79	12	9	3
3151	YALI1_C28228g	113	181	352	34	113	59
11294	YALI1_D01930g	103	32	200	1	0	0
10793	YALI1_C21353g	43	34	43	0	0	2
25200	YALI1_B09448g	44	220	178	25	22	38
5987	YALI1_E31483g	61	133	332	13	17	5
21377	YALI1_E20984g	58	203	496	1	15	0
36936	YALI1_B05404g	268	533	821	27	0	4
38084	YALI1_C06023g	29	66	163	0	0	0
20203	YALI1_D26186g	36	14	87	4	96	111
19477	YALI1_F30317g	57	36	151	0	0	0
7052	YALI1_F16551g	136	295	544	30	51	44
44312	YALI1_D35025g	66	182	113	16	10	10
1339	YALI1_B08094g	328	271	572	0	0	0
36679	YALI1_A21499g	143	230	241	34	104	131
29693	YALI1_E28863g	86	27	16	0	0	0
28514	YALI1_D35787g	32	92	452	0	0	1
46196	YALI1_F04594g	149	144	233	0	0	0
44016	YALI1_D26496g	73	69	134	2	0	1
9324	YALI1_B11648g	171	23	195	0	0	1
35777	Nontargeting	274	543	640	779	2144	1449
232	YALI1_A03069g	290	425	558	0	0	0
28870	YALI1_E08733g	72	43	262	0	0	0
12930	YALI1_B00121g	275	410	889	1208	1418	1006
6160	YALI1_E35639g	104	298	159	0	0	0
33847	YALI1_C00615g	117	181	202	89	100	119
32966	YALI1_B07284g	56	153	217	9	2	10
39759	YALI1_D17593g	160	118	719	17	41	32
16335	YALI1_D27780g	156	182	173	0	0	0
3738	YALI1_D09870g	53	83	441	13	53	79
2527	YALI1_C10121g	144	139	281	25	22	11
30044	YALI1_E37603g	62	28	200	0	0	0
28800	YALI1_E06697g	123	183	661	0	0	0
41977	YALI1_E38218g	204	309	303	1	0	0
40680	YALI1_E06178g	239	225	381	14	53	61
29531	YALI1_E25163g	58	166	155	9	0	0
3312	YALI1_C32392g	193	411	713	60	353	241
12961	YALI1_B01014g	154	413	168	0	0	3
