sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
4489	YALI1_D29481g	927	966	1339	1	1	6
13410	YALI1_B12714g	88	45	176	1	14	35
9947	YALI1_B28472g	396	315	217	6	24	12
7844	YALI1_F36882g	958	897	607	0	0	0
15010	YALI1_C26332g	522	402	684	0	31	4
9640	YALI1_B20192g	659	1091	1719	1	0	0
33414	YALI1_B19453g	381	319	351	39	105	90
44757	YALI1_E10455g	308	317	640	0	1	1
31690	YALI1_F37916g	256	677	1568	0	0	0
7129	YALI1_F18381g	168	82	124	1	8	2
45091	YALI1_E19014g	510	398	1131	0	0	0
40497	YALI1_E01877g	1332	138	367	0	45	16
44850	YALI1_E13082g	114	198	84	0	0	0
45822	YALI1_E36365g	347	610	563	6	33	44
33077	YALI1_B10170g	691	641	879	386	619	530
34233	YALI1_C11862g	93	264	570	0	0	1
1773	YALI1_B19880g	2060	2800	2816	130	293	274
95	Nontargeting	636	673	1096	1336	2484	1698
31913	YALI1_A03567g	536	457	953	550	852	804
37959	YALI1_C02424g	184	307	693	0	0	1
19317	YALI1_F25999g	830	924	1860	2	0	1
33674	YALI1_B26596g	353	438	435	22	0	17
19784	YALI1_F37808g	38	154	362	0	4	3
16662	YALI1_E01019g	86	45	109	0	0	0
11868	YALI1_D16656g	173	418	814	0	0	0
20353	YALI1_D30474g	129	71	92	10	10	21
38177	YALI1_C08548g	192	173	257	50	98	157
34396	YALI1_C16255g	210	208	436	0	0	2
43299	YALI1_F30903g	600	941	723	81	29	30
6337	YALI1_E39862g	801	1209	834	6	4	27
5280	YALI1_E14505g	153	222	628	0	0	0
21448	YALI1_E22633g	347	264	324	97	365	325
40695	YALI1_E06616g	213	294	260	0	0	0
36401	YALI1_A14670g	639	871	727	20	38	46
19137	YALI1_F21467g	211	45	37	0	0	0
25878	YALI1_B27984g	112	214	246	13	158	45
28206	YALI1_D26956g	77	122	295	0	0	0
39704	YALI1_D16236g	143	166	212	0	0	1
22117	YALI1_E38608g	764	730	1257	2	57	12
24680	YALI1_A19010g	205	330	691	1	1	0
37438	YALI1_B18902g	481	405	730	0	0	0
20350	YALI1_D30395g	363	429	727	0	0	1
44667	YALI1_E07899g	643	913	994	1214	1066	667
28128	YALI1_D25006g	220	49	78	0	1	0
12121	YALI1_A02775g	215	297	651	0	1	2
488	YALI1_A09121g	182	633	788	1	0	6
39298	YALI1_D06251g	498	672	603	11	8	14
45794	YALI1_E35734g	121	144	185	53	21	95
20092	YALI1_D23274g	161	299	192	0	0	7
8471	YALI1_A12688g	451	796	631	0	4	26
22639	YALI1_F11224g	94	342	153	0	0	0
4593	YALI1_D32695g	403	547	889	2	5	7
13642	YALI1_B19021g	355	497	922	0	2	2
10347	YALI1_C09150g	99	209	68	0	2	2
37118	YALI1_B09994g	297	211	265	0	0	0
788	YALI1_A16809g	324	186	301	0	0	0
21043	YALI1_E12952g	76	161	153	1	0	0
9568	YALI1_B18391g	304	292	385	1	0	0
19629	YALI1_F33951g	40	0	17	1	0	0
8219	YALI1_A06174g	118	194	622	0	18	12
43769	YALI1_D20164g	343	420	861	6	48	88
562	YALI1_A11218g	1317	1437	2299	3	0	1
7813	YALI1_F35983g	230	488	468	376	300	385
41030	YALI1_E15629g	193	282	268	0	13	0
27969	YALI1_D20844g	63	122	222	326	421	405
28160	YALI1_D25831g	481	468	1177	3	0	0
25071	YALI1_B06245g	217	187	177	0	0	0
41656	YALI1_E30590g	401	311	832	2	2	4
9046	YALI1_B04466g	404	319	371	2	0	0
8972	YALI1_B02283g	287	369	564	0	0	0
23407	YALI1_F30395g	193	102	337	0	0	0
13336	YALI1_B10607g	558	615	1369	1543	1836	1647
11637	YALI1_D10961g	171	447	580	0	0	0
8381	YALI1_A10072g	171	236	180	0	12	28
45263	YALI1_E22961g	717	980	1697	0	0	1
41577	YALI1_E28465g	654	783	736	2	1	6
24965	YALI1_B03516g	183	210	206	0	0	1
14238	YALI1_C04818g	269	205	292	0	0	0
37062	YALI1_B08580g	604	531	563	38	89	74
37382	YALI1_B17441g	451	335	825	2	0	2
28945	YALI1_E11154g	60	74	287	4	49	17
17330	YALI1_E18095g	642	614	1687	0	0	2
42532	YALI1_F11635g	987	865	559	419	1222	593
4541	YALI1_D30899g	763	787	1325	66	225	132
11730	YALI1_D13042g	442	347	959	207	416	343
33658	YALI1_B25988g	298	203	248	0	0	1
22725	YALI1_F13134g	497	555	1342	0	101	94
26182	YALI1_C06006g	207	575	417	137	55	38
47134	YALI1_F28453g	188	542	695	0	0	1
35349	YALI1_D08798g	97	294	272	0	0	0
23191	YALI1_F24667g	1934	2364	4727	2708	5563	4388
37763	YALI1_B27570g	291	397	769	320	316	183
43516	YALI1_F35983g	762	642	544	0	0	1
42649	YALI1_F14368g	980	513	792	115	155	121
3728	YALI1_D09504g	772	408	629	0	3	0
9204	YALI1_B08321g	507	865	1059	12	13	16
18267	YALI1_E40640g	1268	1350	3574	31	41	22
14453	YALI1_C11057g	699	514	879	117	195	147
36411	YALI1_A14989g	623	431	965	0	0	0
19867	YALI1_F39645g	1244	1632	2171	1297	1878	1433
4627	YALI1_D33640g	354	186	740	294	562	456
41909	YALI1_E36692g	369	251	361	0	0	2
14801	YALI1_C20032g	551	1143	1499	1	0	0
46973	YALI1_F24301g	292	761	415	445	987	446
33779	YALI1_B29419g	235	303	526	0	0	0
35986	YALI1_A04164g	480	825	1000	148	528	374
8932	YALI1_B01357g	231	346	260	0	0	2
23897	Nontargeting	394	636	800	1017	1536	1761
19201	YALI1_F23214g	854	1136	1651	0	3	11
7514	YALI1_F28686t	265	510	718	11	0	0
38466	YALI1_C16809g	449	770	870	157	667	489
37344	YALI1_B16277g	779	1422	1319	0	0	16
15437	YALI1_D04566g	281	94	364	0	0	0
28804	YALI1_E06843g	327	193	478	0	0	0
38550	YALI1_C18757g	75	21	186	0	4	1
35883	YALI1_A01732g	167	371	172	309	523	418
6280	YALI1_E38349g	435	392	461	458	620	563
38187	YALI1_C08938g	1082	391	492	0	1	0
40228	YALI1_D30474g	385	366	775	0	0	0
46156	YALI1_F03573g	385	316	322	1	2	2
40913	YALI1_E12793g	650	282	243	0	0	0
11351	YALI1_D03412g	278	379	783	158	420	196
12144	YALI1_A03289g	827	674	1032	190	247	269
44423	YALI1_E01865g	220	145	374	0	0	0
29988	YALI1_E36179g	121	137	266	0	0	0
33939	YALI1_C03374g	381	600	743	2	0	1
38509	YALI1_C17800g	154	242	495	167	203	224
32793	YALI1_B02767g	318	179	350	0	0	0
44583	YALI1_E05709g	309	210	190	1296	83	73
37131	YALI1_B10424g	283	707	279	14	89	99
34309	YALI1_C13973g	362	242	289	0	0	0
39509	YALI1_D11442g	585	783	924	18	59	77
18309	YALI1_E41893g	358	360	940	2918	1657	1486
8045	YALI1_A01905g	170	203	473	0	0	0
27116	YALI1_C32461g	333	279	449	0	0	0
20053	YALI1_D22208g	678	1379	2111	2720	4714	3210
20523	YALI1_D35356g	1142	1232	2581	1	20	10
36592	YALI1_A19419g	414	344	304	0	0	0
14391	YALI1_C09094g	319	307	534	1	0	0
10619	YALI1_C16851g	455	488	1456	0	0	4
32056	YALI1_A06823g	247	98	493	0	13	54
28810	YALI1_E07099g	95	110	168	85	123	61
5970	YALI1_E31031g	442	1177	1784	229	138	222
4400	YALI1_D26808g	158	161	135	28	28	89
15161	YALI1_C30910g	676	586	998	2	0	3
24515	YALI1_A15053g	174	661	487	0	0	1
7027	YALI1_F16117g	391	587	906	1	0	0
23925	YALI1_A00032g	882	727	1741	3093	4570	2767
84	Nontargeting	914	664	479	813	2202	1428
29763	YALI1_E30815g	260	250	357	0	1	0
41987	YALI1_E38491g	244	251	371	0	0	2
18353	YALI1_F01456g	301	278	505	5	9	24
13974	YALI1_B27874g	979	876	1037	1	2	2
46470	YALI1_F11878g	41	171	266	1	0	0
23286	YALI1_F27237g	601	494	1470	0	6	0
22950	YALI1_F18122g	598	445	916	15	106	96
10707	YALI1_C18872g	277	630	632	3	2	11
20193	YALI1_D26006g	375	282	1055	4	15	59
41438	YALI1_E25364g	705	603	527	0	0	2
11045	YALI1_C29344g	68	4	17	123	202	164
11673	YALI1_D11722g	232	291	401	13	2	30
19018	YALI1_F17962g	591	352	965	360	945	582
34427	YALI1_C17050g	652	871	1187	1369	2107	1286
40802	YALI1_E09705g	406	342	628	35	126	161
25187	YALI1_B09161g	272	367	540	144	253	310
22146	YALI1_E39335g	485	488	1310	4	26	68
10320	YALI1_C08197g	1187	1050	1861	4	0	4
12421	YALI1_A09919t	1102	1631	2017	91	106	32
46688	YALI1_F16702g	158	182	334	0	0	0
30092	YALI1_E38640g	271	363	584	0	0	1
21745	YALI1_E29535g	36	87	94	0	0	0
24949	YALI1_B03021g	96	336	298	3	3	5
32788	YALI1_B02642g	311	486	630	78	290	280
27486	YALI1_D08594g	404	417	632	1	0	0
17851	YALI1_E30496g	570	622	730	0	0	7
5056	YALI1_E08382g	42	134	137	11	67	18
11127	YALI1_C31252g	160	177	85	1	1	0
5606	YALI1_E22262g	712	737	1252	581	1342	1076
22123	YALI1_E38706g	775	579	877	5	1	3
4940	YALI1_E05489g	275	420	455	81	15	14
7970	YALI1_F39818g	677	286	359	0	0	0
871	YALI1_A18732g	211	354	481	1	0	0
25266	YALI1_B11532g	249	503	483	0	0	0
5499	YALI1_E19795g	135	312	313	1	0	1
15569	YALI1_D08205g	4666	5174	8752	5	12	47
47016	YALI1_F25382g	81	204	441	0	17	0
29042	YALI1_E13677g	318	196	532	1	0	2
29755	YALI1_E30590g	363	473	794	2	4	0
16004	YALI1_D18833g	1805	2539	3266	5343	8713	5158
14232	YALI1_C04672g	657	782	1603	1333	1925	1430
29449	YALI1_E23313g	692	488	1193	0	3	88
13664	YALI1_B19567g	584	350	1224	3	2	0
36565	YALI1_A18590g	598	420	597	0	1	0
19089	YALI1_F20086g	412	730	1265	1	0	2
41372	YALI1_E23824g	362	526	602	0	0	3
17311	YALI1_E17613g	980	1051	1576	0	2	3
36613	YALI1_A19924g	192	251	179	0	2	0
3352	YALI1_C33332g	415	288	848	0	0	3
19422	YALI1_F28915g	305	689	700	3	1	1
15352	YALI1_D02150g	716	527	1648	54	0	1
17907	YALI1_E31891g	455	512	663	1	0	0
18949	YALI1_F16451g	400	200	988	0	0	2
16364	YALI1_D28630g	1516	2029	3956	2	0	12
14033	YALI1_B29562g	683	1118	1770	2	0	2
36754	YALI1_B00719g	350	505	930	760	996	628
28111	YALI1_D24546g	516	512	803	0	0	0
34494	YALI1_C18590g	173	146	554	0	0	0
2024	YALI1_B26749g	643	495	565	17	63	97
12567	YALI1_A14020g	689	922	1366	0	5	8
6618	YALI1_F06109g	725	498	788	3	2	2
34783	YALI1_C26873g	83	33	10	60	69	58
16084	YALI1_D21167g	429	378	610	0	1	0
37231	YALI1_B13355g	307	286	957	0	0	3
19953	YALI1_D19515g	447	301	937	0	15	0
38540	YALI1_C18584g	193	222	238	1	0	0
29749	YALI1_E30431g	195	212	395	0	40	41
47111	YALI1_F27871g	712	686	721	148	496	436
29420	YALI1_E22592g	583	474	400	66	48	31
33148	YALI1_B12204g	540	590	988	2	0	0
24334	YALI1_A10254g	1058	539	1237	200	579	461
34910	YALI1_C30749g	1106	1002	2200	736	1375	1150
36992	YALI1_B06704g	215	77	69	0	0	0
5470	YALI1_E19201g	770	204	285	0	0	0
3295	YALI1_C31971g	159	75	195	0	0	0
28744	YALI1_E05538g	398	488	554	3	2	0
28082	YALI1_D23730g	401	302	417	14	18	30
208	YALI1_A02443g	357	205	476	0	1	0
33100	YALI1_B10891g	241	185	273	27	35	76
34225	YALI1_C11694g	248	483	470	0	0	0
32407	YALI1_A15925g	189	251	199	0	0	0
38113	YALI1_C06724g	305	415	1150	1	46	11
20152	YALI1_D24961g	812	939	1756	10	13	12
6856	YALI1_F12312g	471	506	921	1	0	0
5794	YALI1_E26860g	486	603	1319	208	500	270
11339	YALI1_D03061g	623	454	745	1	0	1
43292	YALI1_F30647g	64	104	65	0	1	1
38510	YALI1_C17820g	179	176	344	0	0	2
31941	YALI1_A04261g	179	81	453	57	74	259
43893	YALI1_D23265g	2147	2010	3340	3419	7784	5150
184	YALI1_A01794g	249	244	368	0	7	0
42231	YALI1_F03693g	282	225	356	82	145	122
19950	YALI1_D19338g	509	863	662	0	0	8
19910	YALI1_D18130g	861	924	1892	1	0	2
15691	YALI1_D11114g	271	429	748	8	15	11
13935	YALI1_B26984g	1260	1018	2104	2077	4050	2822
34150	YALI1_C09181g	314	170	520	134	160	65
46684	YALI1_F16600g	88	222	285	0	2	0
7351	YALI1_F24478g	93	245	310	0	0	0
46739	YALI1_F17797g	461	736	966	357	410	336
24133	YALI1_A05407g	156	171	555	2	0	0
6733	YALI1_F09317g	634	656	1883	262	450	153
32598	YALI1_A20739g	160	114	336	0	0	1
8279	YALI1_A07418g	258	159	942	24	58	71
38231	YALI1_C10133g	550	220	348	0	0	0
5204	YALI1_E12711g	120	258	563	1	0	0
41127	YALI1_E17935g	658	920	996	293	94	6
43202	YALI1_F28212g	299	299	357	118	179	174
33850	YALI1_C00739g	92	360	138	2	0	0
25549	YALI1_B19205g	298	213	617	0	0	0
36478	YALI1_A16485g	160	196	276	113	115	228
18547	YALI1_F07042g	90	22	171	0	0	1
1872	YALI1_B22372g	593	334	390	1	5	2
8459	YALI1_A12403g	423	369	535	0	0	0
24913	YALI1_B02091g	241	257	478	1	10	0
17027	YALI1_E10443g	171	276	484	0	0	0
6521	YALI1_F03481g	103	272	791	9	104	71
37938	YALI1_C01843g	284	156	160	0	0	0
667	YALI1_A14024g	264	781	641	53	134	136
14299	YALI1_C06414g	265	273	405	0	0	1
7707	YALI1_F33572g	391	412	413	0	0	0
13326	YALI1_B10263g	168	129	136	0	0	0
46141	YALI1_F03269g	183	258	449	0	0	1
40886	YALI1_E12113g	189	315	182	54	170	157
19344	YALI1_F26860g	851	1129	2252	3	0	0
38196	YALI1_C09150g	210	411	475	2	0	0
14191	YALI1_C03550g	101	235	680	0	3	0
21262	YALI1_E18212g	462	721	960	1	0	2
40082	YALI1_D26316g	951	953	1216	12	23	44
42216	YALI1_F03337g	187	297	400	0	0	0
16460	YALI1_D31672g	102	92	82	0	28	1
45920	YALI1_E38640g	613	785	772	90	152	121
44990	YALI1_E16493g	78	237	179	0	0	0
36051	YALI1_A05836g	357	682	224	4	39	15
39609	YALI1_D13871g	445	609	536	142	565	471
17779	YALI1_E28545g	300	122	537	0	0	0
2627	YALI1_C13355g	287	405	644	1	0	0
21629	YALI1_E26987g	593	611	1450	20	56	89
20103	YALI1_D23653g	573	791	1361	4	0	3
37482	YALI1_B20052g	412	583	682	158	93	98
18173	YALI1_E38193g	279	211	484	0	6	11
37115	YALI1_B09931g	583	706	1128	156	220	381
12241	YALI1_A05662g	284	89	635	3	1	0
8766	YALI1_A19974g	112	208	194	0	0	0
25449	YALI1_B16446g	408	495	909	1	0	0
32067	YALI1_A07226g	558	223	183	333	590	727
1085	YALI1_B01568g	467	585	539	4	12	0
3421	YALI1_D01431g	201	205	523	7	0	0
45506	YALI1_E28491g	460	567	524	3	0	1
45060	YALI1_E18121g	244	359	249	0	3	5
22535	YALI1_F08635g	55	136	429	0	0	0
4368	YALI1_D26051g	1129	238	445	0	1	0
23434	YALI1_F31255g	30	0	0	0	0	0
19574	YALI1_F32698g	94	489	570	1	0	4
38656	YALI1_C21682g	322	214	461	0	16	59
45438	YALI1_E27144g	436	588	738	541	1046	785
25725	YALI1_B23622g	428	1129	1425	18	76	36
31198	YALI1_F25587g	362	420	921	132	320	261
20265	YALI1_D27844g	570	586	1358	6	22	3
3177	YALI1_C28895g	311	327	296	2	51	18
7821	YALI1_F36204g	119	135	201	0	0	3
30542	YALI1_F09481g	935	985	1998	819	1904	1699
4165	YALI1_D20784g	324	416	1059	95	11	111
46283	YALI1_F07246g	281	321	441	0	80	34
39924	YALI1_D22124g	440	451	1425	6	23	1
12190	YALI1_A04385g	111	70	100	1	1	3
10482	YALI1_C13389g	296	541	597	1251	1597	1354
39618	YALI1_D14156g	482	411	713	1	0	0
1996	YALI1_B25798g	798	593	755	1	0	2
22034	YALI1_E36692g	46	223	180	0	0	0
24655	YALI1_A18439g	95	163	42	315	384	226
41701	YALI1_E31697g	74	207	116	121	141	173
16496	YALI1_D32812g	197	214	321	4	25	39
19462	YALI1_F29911g	963	813	1188	5	0	2
13259	YALI1_B08575g	808	467	940	22	25	54
38385	YALI1_C14823g	354	374	693	201	676	365
38743	YALI1_C24589g	872	845	676	86	284	234
6467	YALI1_F02008g	256	330	1024	3	0	0
26253	YALI1_C07758g	129	295	540	91	138	229
41759	YALI1_E33094g	447	342	554	0	0	1
6495	YALI1_F02855g	206	360	521	2	0	0
231	YALI1_A03029g	1118	1561	1717	3446	4211	3074
3282	YALI1_C31549g	673	758	963	13	4	9
3622	YALI1_D07089g	167	190	66	1	0	0
42978	YALI1_F22674g	396	540	462	116	144	173
32508	YALI1_A18426g	92	42	176	268	205	191
24322	YALI1_A09919t	260	405	505	0	0	0
44642	YALI1_E07234g	541	870	1208	3	2	1
11965	Nontargeting	345	410	368	875	1594	1282
40789	YALI1_E09381g	525	580	682	0	0	0
32620	YALI1_A21175g	138	312	508	56	74	170
4267	YALI1_D23377g	81	263	180	0	2	1
1364	YALI1_B08699g	511	563	824	1	0	0
40165	YALI1_D28569g	317	326	352	0	0	9
13402	YALI1_B12427g	314	311	504	359	899	571
4962	YALI1_E05929g	924	1292	937	1	0	4
43062	YALI1_F24578g	738	588	1095	1775	2196	978
2324	YALI1_C04401g	340	370	763	48	40	80
17584	YALI1_E24120g	172	192	287	0	0	0
3499	YALI1_D03488g	845	1108	1624	4	3	8
35780	Nontargeting	95	524	276	590	1620	913
44632	YALI1_E06843g	176	244	379	169	196	407
4289	YALI1_D24069g	561	416	393	1	0	0
35167	YALI1_D03831g	610	851	1414	7	1	2
47398	YALI1_F34862g	911	1056	1266	11	48	129
47389	YALI1_F34675g	559	883	1233	1	2	3
16858	YALI1_E05811g	2102	1698	3167	3	1	3
16148	YALI1_D22834g	77	376	583	198	309	177
13020	YALI1_B02345g	208	391	783	0	0	2
10666	YALI1_C17949g	523	823	1387	139	170	235
2451	YALI1_C07758g	538	486	1182	2	1	6
974	YALI1_A21449g	686	1209	1698	2	1	1
11321	YALI1_D02563g	589	758	888	349	822	745
35504	YALI1_D12483g	338	236	644	0	62	11
11529	YALI1_D08360g	387	480	1176	13	37	37
10229	YALI1_C05857g	363	362	561	120	472	280
31467	YALI1_F32554g	645	824	727	9	0	3
12257	YALI1_A06052g	771	735	1406	144	151	124
31052	YALI1_F21769g	140	145	388	31	92	161
43305	YALI1_F31135g	219	300	345	90	138	215
43443	YALI1_F34202g	271	416	307	3	13	0
27379	YALI1_D05736g	364	293	857	0	0	19
28325	YALI1_D30420g	621	669	1075	328	416	534
28135	YALI1_D25178g	470	361	566	329	518	295
17117	YALI1_E12962g	74	7	155	0	0	0
41931	YALI1_E37157g	195	328	711	2	0	0
24191	YALI1_A06640g	366	453	1077	0	0	9
40605	YALI1_E04531g	201	217	443	9	108	133
45753	YALI1_E34826g	614	416	819	0	0	0
32210	YALI1_A11010g	92	219	569	1	5	2
26822	YALI1_C24081g	274	306	376	0	0	0
5511	YALI1_E20070g	219	374	518	2	19	1
5198	YALI1_E12561g	523	760	1145	75	203	196
39086	YALI1_D00487g	351	397	464	2	1	1
38829	YALI1_C26837g	412	733	793	408	588	597
38901	YALI1_C29497g	251	215	640	87	174	217
2488	YALI1_C09033g	137	113	170	0	0	0
26362	YALI1_C11352g	455	427	751	518	1047	1033
41350	YALI1_E23313g	241	509	785	0	0	0
46309	YALI1_F07884g	222	178	119	68	86	74
2580	YALI1_C11925g	986	1036	1804	0	0	2
15908	YALI1_D16370g	944	1410	1899	1	1	17
42129	YALI1_F00534g	408	422	787	2	0	0
23652	YALI1_F36267g	556	1030	1945	1	8	0
39224	YALI1_D04128g	236	444	728	1	0	1
41395	YALI1_E24318g	332	802	679	2	30	17
42627	YALI1_F13793g	195	221	220	0	0	0
4174	YALI1_D20985g	306	411	516	58	255	236
39479	YALI1_D10812g	303	629	319	0	0	31
46500	YALI1_F12578g	439	307	486	0	0	1
16765	YALI1_E03510g	674	981	1489	1117	2324	2174
14137	YALI1_C01847g	1280	1566	2558	41	5	3
33757	YALI1_B28766g	256	278	480	308	940	625
42044	YALI1_E39955g	189	88	391	2	7	1
29585	YALI1_E26492g	132	424	201	115	104	93
5900	YALI1_E29065g	1126	1763	2581	3	22	4
27637	YALI1_D12135g	534	381	886	10	132	109
25478	YALI1_B17299t	187	302	378	396	1426	1283
26028	YALI1_C01590g	109	375	155	0	0	0
44630	YALI1_E06737g	485	405	904	29	58	36
4781	YALI1_E01530g	521	216	333	0	0	0
6978	YALI1_F15118g	549	1123	1921	0	0	1
317	YALI1_A05052g	340	131	324	22	74	43
3613	YALI1_D06756g	169	96	271	0	0	0
35231	YALI1_D05692g	552	645	1582	55	34	85
44995	YALI1_E16597g	618	852	1166	0	131	77
19241	YALI1_F24228g	427	257	642	1	0	0
10746	YALI1_C19909g	436	104	254	0	0	0
19257	YALI1_F24517g	258	313	523	0	0	0
14361	YALI1_C08017g	1828	1479	2791	2	0	2
13927	YALI1_B26790g	345	448	641	30	110	198
23216	YALI1_F25413g	84	64	194	0	0	0
8108	YALI1_A03507g	71	48	71	0	0	0
23706	YALI1_F37714g	140	293	583	2	1	1
12318	YALI1_A07318g	211	223	543	0	0	1
19519	YALI1_F31531g	262	152	434	0	0	1
44500	YALI1_E03651g	335	236	370	1	11	9
10325	YALI1_C08275g	175	426	591	0	0	1
37195	YALI1_B12204g	195	262	113	0	0	0
39218	YALI1_D03952g	439	432	570	1	0	0
22134	YALI1_E39128g	173	56	208	0	0	0
3458	YALI1_D02345g	55	130	54	34	124	45
20170	YALI1_D25337g	898	1345	1959	0	0	5
43744	YALI1_D19110g	413	485	242	0	0	0
14507	YALI1_C12755g	504	497	964	0	0	0
44066	YALI1_D27826g	936	619	699	0	0	5
26526	YALI1_C15776g	422	256	388	0	116	106
38402	YALI1_C15307g	596	752	866	0	0	0
36246	YALI1_A10672g	214	400	446	0	0	0
43104	YALI1_F25671g	800	184	304	0	8	8
40725	YALI1_E07471g	108	190	443	97	39	29
27216	YALI1_D01298g	411	430	566	149	562	283
45439	YALI1_E27161g	529	532	350	201	256	178
164	YALI1_A01249g	472	709	1105	3	0	1
3	Nontargeting	174	238	327	427	931	642
25765	YALI1_B24901g	446	694	1012	1299	2194	1898
8555	YALI1_A14721g	416	416	838	0	0	1
15939	YALI1_D17181g	722	536	841	32	92	104
34827	YALI1_C28706g	649	1142	2221	631	868	416
20752	YALI1_E05074g	1226	1573	2358	4	0	4
12377	YALI1_A08835g	198	311	576	0	7	4
1081	YALI1_B01485g	257	274	411	0	0	0
23137	YALI1_F23414g	135	187	147	0	3	0
22038	YALI1_E36805g	1267	1365	2301	36	5	4
46117	YALI1_F02545g	744	536	663	88	28	51
35798	Nontargeting	300	648	382	647	1462	1857
31799	YALI1_A00683g	377	334	679	1	0	0
36676	YALI1_A21420g	689	1032	746	170	397	399
12088	YALI1_A01854g	989	1127	1681	376	783	638
20741	YALI1_E04744g	2236	2208	3081	3	3	1
5168	YALI1_E11674g	252	309	314	0	0	0
32412	YALI1_A16028g	521	648	798	89	244	132
1328	YALI1_B07769g	44	149	46	0	0	0
29935	YALI1_E35012g	257	287	899	0	0	1
28102	YALI1_D24361g	2098	668	1393	0	0	0
25271	YALI1_B11625g	340	452	1458	0	3	0
41632	YALI1_E29840g	95	371	412	0	0	0
29363	YALI1_E21222g	167	182	465	0	0	9
19008	YALI1_F17756g	353	571	842	1	0	0
36556	YALI1_A18439g	489	741	960	17	407	46
30146	YALI1_E40032g	166	19	258	0	0	0
6415	YALI1_F00261g	253	254	504	2	14	16
27469	YALI1_D08186g	541	202	860	18	45	35
44761	YALI1_E10662g	361	337	646	0	0	0
43585	YALI1_F37775g	363	536	570	1	0	3
38697	YALI1_C23323g	525	676	1031	3	5	0
1864	YALI1_B22088g	789	698	1374	20	49	41
36463	YALI1_A16121g	452	372	423	66	181	313
46564	YALI1_F14150g	1826	2839	3253	8266	8439	5698
22124	YALI1_E38744g	350	622	1025	16	5	2
45874	YALI1_E37678g	148	148	301	1	9	0
25174	YALI1_B08868g	782	1735	2631	2	0	1
13897	YALI1_B25798g	313	69	157	0	0	0
31679	YALI1_F37694g	301	285	776	0	1	0
5221	YALI1_E13097g	265	284	557	13	0	26
3743	YALI1_D09956g	284	269	698	2	0	3
28811	YALI1_E07121g	617	577	1181	285	270	424
33190	YALI1_B13556g	748	335	1025	0	0	3
25389	YALI1_B14948g	255	272	659	0	0	0
26704	YALI1_C20078g	133	73	469	174	418	392
33199	YALI1_B13828g	511	459	564	0	50	26
32629	YALI1_A21420g	403	537	615	0	0	0
33328	YALI1_B17214g	476	400	726	0	38	7
31363	YALI1_F29911g	107	199	105	1	103	18
6879	YALI1_F12842g	309	320	441	1	0	1
35957	YALI1_A03507g	98	249	311	0	0	0
25938	YALI1_B29718g	216	262	284	192	221	208
45036	YALI1_E17527g	303	225	561	300	604	364
10877	YALI1_C24183g	555	390	667	10	31	20
45770	YALI1_E35118g	650	532	1187	477	691	477
31259	YALI1_F27211g	574	644	970	40	24	72
2901	YALI1_C20054g	615	448	831	10	78	48
28650	YALI1_E03150g	338	254	1016	1334	1634	1977
19709	YALI1_F35868g	344	459	468	66	108	138
23317	YALI1_F28031g	739	424	709	239	653	497
8898	YALI1_B00539g	55	78	147	0	0	0
21724	YALI1_E28964g	2476	2878	4303	3	1	3
4556	YALI1_D31526g	346	1448	1571	0	0	1
10192	YALI1_C04853g	510	395	895	274	419	283
46447	YALI1_F11313g	514	285	468	0	2	16
44707	YALI1_E09051g	346	196	408	66	101	132
25802	YALI1_B25952g	1017	1361	2035	1446	2913	1421
42729	YALI1_F16069g	156	125	89	110	66	138
30675	YALI1_F12649g	246	162	138	6	9	30
8542	YALI1_A14390g	481	310	549	11	8	17
39017	YALI1_C32461g	286	129	330	1	0	2
3217	YALI1_C29920g	687	647	1609	0	0	0
45677	YALI1_E32868g	461	438	681	3	0	0
4873	YALI1_E03723g	228	240	426	1	0	0
20532	YALI1_D35593g	1466	1734	2019	31	63	53
36736	YALI1_B00242g	367	557	680	765	1457	1056
18109	YALI1_E36773g	96	82	194	0	0	2
19136	YALI1_F21453g	1001	1252	2179	1	23	11
27416	YALI1_D06788g	194	281	363	176	284	269
9108	YALI1_B05891g	409	154	304	28	15	19
45053	YALI1_E17920g	1029	732	1216	0	0	0
29033	YALI1_E13472g	335	150	350	0	0	0
23861	Nontargeting	449	421	343	842	1693	1331
43991	YALI1_D25877g	308	299	516	2	0	1
47429	YALI1_F35690g	805	660	991	36	24	17
39000	YALI1_C32010g	256	525	458	1	21	5
39274	YALI1_D05474g	278	458	590	4	0	0
4536	YALI1_D30781g	126	33	45	1	0	0
3936	YALI1_D14532g	292	265	274	0	0	1
10636	YALI1_C17307g	331	368	1003	86	81	98
3578	YALI1_D05739g	272	317	741	357	556	434
7155	YALI1_F19153g	393	627	1131	0	0	1
5284	YALI1_E14584g	271	511	540	2	0	0
1100	YALI1_B01878g	1578	1590	3095	2	13	2
13050	YALI1_B03043g	214	21	196	0	0	1
37040	YALI1_B07957g	229	420	414	387	1059	718
42905	YALI1_F20462g	74	216	426	24	106	202
12364	YALI1_A08512g	233	236	527	19	25	11
45079	YALI1_E18713g	139	191	338	135	103	240
36575	YALI1_A18752g	94	141	306	0	0	0
6732	YALI1_F09314g	384	379	754	0	0	2
1669	YALI1_B17112g	274	561	849	21	44	63
